DefinitionType,Name,Notes,Enabled,Confidence,ProtocolNumber,Port,Domain,Protocol,SourcePort,DestinationPort,EitherPort,SourceIP,DestinationIP,EitherIP,SourceGeo,DestinationGeo,EitherGeo,SourceDomain,DestinationDomain,EitherDomain,DSCP,SourceAddressMap,DestinationAddressMap,EitherAddressMap,Interface,AppExpressMode
COMPOUND,lab25-cmp-01,directional ports,TRUE,100,,,,tcp,1024-2048,443,,,,,,,,,,,,,,,,OFF
COMPOUND,lab25-cmp-02,either port and IP,TRUE,100,,,,udp,,,53|443,,,198.18.100.1/32|198.18.100.2/32,,,,,,,,,,,,OFF
COMPOUND,lab25-cmp-03,IP and geo,TRUE,100,,,,,,,,198.18.101.0/24,198.18.102.0/24,,United States of America,Canada,,,,,,,,,,OFF
COMPOUND,lab25-cmp-04,domain and DSCP,TRUE,100,,,,,,,,,,,,,,*.source.example.com,*.destination.example.com,,af31,,,,,OFF
COMPOUND,lab25-cmp-05,address map and interface,TRUE,100,,,,,,,,,,,,,,,,,,Office365Common,Salesforce,,lan0,OFF
COMPOUND,lab25-cmp-06,either geo/map,TRUE,100,,,,ip,,,,,,,,,United States of America,,,,,,,Office365Common,,OFF
COMPOUND,lab25-cmp-07,IPv6 and DSCP,TRUE,100,,,,udp,,,,2001:db8:25::/64,2001:db8:26::/64,,,,,,,,ef,,,,,OFF
COMPOUND,lab25-cmp-08,combined directional criteria,TRUE,100,,,,tcp,2000-2010,9443,,198.18.103.0/24,198.18.104.0/24,,United States of America,Canada,,*.src.example.net,*.dst.example.net,,af21,Office365Common,Salesforce,,lan0.10,MONITOR
IP_PROTOCOL,lab25-bad-ip-09,INVALID protocol number,TRUE,100,256,0,,,,,,,,,,,,,,,,,,,,OFF
IP_PROTOCOL,lab25-bad-ip-10,INVALID nonnumeric protocol,TRUE,100,abc,0,,,,,,,,,,,,,,,,,,,,OFF
TCP_PORT,lab25-bad-tcp-09,INVALID TCP port zero,TRUE,100,,0,,,,,,,,,,,,,,,,,,,,OFF
TCP_PORT,lab25-bad-tcp-10,INVALID dedicated TCP range,TRUE,100,,80-90,,,,,,,,,,,,,,,,,,,,OFF
UDP_PORT,lab25-bad-udp-09,INVALID UDP port,TRUE,100,,70000,,,,,,,,,,,,,,,,,,,,OFF
UDP_PORT,lab25-bad-udp-10,INVALID nonnumeric UDP port,TRUE,100,,abc,,,,,,,,,,,,,,,,,,,,OFF
DOMAIN,lab25-bad-domain-09,INVALID URL not domain,TRUE,100,,,https://bad.example.com/path,,,,,,,,,,,,,,,,,,,OFF
DOMAIN,lab25-bad-domain-10,INVALID double dot,TRUE,100,,,bad..example.com,,,,,,,,,,,,,,,,,,,OFF
COMPOUND,lab25-bad-cmp-09,INVALID only one attribute,TRUE,100,,,,tcp,,,,,,,,,,,,,,,,,,OFF
COMPOUND,lab25-bad-cmp-10,INVALID directional/either conflict,TRUE,100,,,,,,,,198.18.200.1/32,,198.18.200.2/32,,,,,,,,,,,,OFF
